run_id,missing_rate,prompt_style,trial,model,cleaning_action_sales_gbp,total_features_created,has_lag_52,top_feature_ranked,downstream_rmse,proposed_features_list,top_3_features_list,status
1,0.01,baseline,1,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1688.97,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'lag_52', 'rolling_4_std']",success
2,0.01,baseline,2,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1520.66,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'rolling_4_std', 'lag_52']",success
3,0.01,baseline,3,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1733.77,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'rolling_4_std', 'lag_52']",success
4,0.01,baseline,4,anthropic/claude-3.5-sonnet,drop_rows,17,False,lag_1,785.77,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_8', 'lag_12', 'rolling_4_mean', 'rolling_4_std', 'rolling_8_mean', 'rolling_12_mean']","['lag_1', 'rolling_4_mean', 'rolling_4_std']",success
5,0.01,baseline,5,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1760.16,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_std']","['lag_1', 'rolling_4_mean', 'rolling_4_std']",success
6,0.01,baseline,6,anthropic/claude-3.5-sonnet,drop_rows,17,True,rolling_4_std,1728.34,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['rolling_4_std', 'rolling_4_mean', 'lag_1']",success
7,0.01,baseline,7,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1704.98,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_std']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
8,0.01,baseline,8,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1526.19,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_std']","['lag_1', 'rolling_4_mean', 'lag_52']",success
9,0.01,baseline,9,anthropic/claude-3.5-sonnet,drop_rows,17,True,rolling_4_mean,1685.78,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['rolling_4_mean', 'rolling_4_std', 'lag_1']",success
10,0.01,baseline,10,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1739.63,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'lag_52', 'rolling_4_std']",success
11,0.01,verbose,1,anthropic/claude-3.5-sonnet,drop_rows,16,True,lag_1,1626.58,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'lag_52', 'rolling_4_std']",success
12,0.01,verbose,2,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1560.39,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'lag_52', 'rolling_4_mean']",success
13,0.01,verbose,3,anthropic/claude-3.5-sonnet,drop_rows,19,True,lag_1,1785.17,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_8', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'lag_52', 'rolling_4_std']",success
14,0.01,verbose,4,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_52,1678.86,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_8', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_52', 'rolling_4_std', 'lag_1']",success
15,0.01,verbose,5,anthropic/claude-3.5-sonnet,drop_rows,16,True,lag_1,1665.78,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'lag_52', 'rolling_4_mean']",success
16,0.01,verbose,6,anthropic/claude-3.5-sonnet,drop_rows,18,True,rolling_4_mean,1789.91,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_max']","['rolling_4_mean', 'rolling_4_std', 'lag_1']",success
17,0.01,verbose,7,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1704.98,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_max']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
18,0.01,verbose,8,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1533.63,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'rolling_4_std', 'lag_52']",success
19,0.01,verbose,9,anthropic/claude-3.5-sonnet,drop_rows,16,True,rolling_4_mean,1624.25,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean', 'rolling_4_std']","['rolling_4_mean', 'lag_1', 'lag_52']",success
20,0.01,verbose,10,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1709.24,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_max']","['lag_1', 'rolling_4_mean', 'lag_52']",success
21,0.01,concise,1,anthropic/claude-3.5-sonnet,drop_rows,19,True,lag_52,1712.11,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_8', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_52', 'lag_1', 'rolling_4_mean']",success
22,0.01,concise,2,anthropic/claude-3.5-sonnet,drop_rows,18,False,lag_1,788.02,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_8', 'lag_13', 'rolling_4_mean', 'rolling_4_std', 'rolling_8_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'rolling_4_std']",success
23,0.01,concise,3,anthropic/claude-3.5-sonnet,drop_rows,19,True,lag_1,1805.2,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_8', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_std']","['lag_1', 'lag_52', 'rolling_4_std']",success
24,0.01,concise,4,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_52,1678.86,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_8', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_52', 'rolling_4_std', 'lag_1']",success
25,0.01,concise,5,anthropic/claude-3.5-sonnet,drop_rows,19,True,lag_1,1801.98,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_8', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'lag_52', 'rolling_4_mean']",success
26,0.01,concise,6,anthropic/claude-3.5-sonnet,drop_rows,17,True,rolling_4_std,1728.34,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['rolling_4_std', 'rolling_4_mean', 'lag_1']",success
27,0.01,concise,7,anthropic/claude-3.5-sonnet,drop_rows,19,True,lag_1,1724.65,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_8', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_max']","['lag_1', 'rolling_4_mean', 'rolling_4_std']",success
28,0.01,concise,8,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1533.63,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'rolling_4_std', 'lag_52']",success
29,0.01,concise,9,anthropic/claude-3.5-sonnet,drop_rows,17,True,rolling_4_mean,1685.78,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['rolling_4_mean', 'rolling_4_std', 'lag_1']",success
30,0.01,concise,10,anthropic/claude-3.5-sonnet,drop_rows,19,True,lag_1,1746.8,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_8', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'lag_52', 'rolling_4_mean']",success
31,0.01,reordered,1,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1688.97,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'lag_52', 'rolling_4_std']",success
32,0.01,reordered,2,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1518.4,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_13_mean', 'rolling_4_std']","['lag_1', 'rolling_4_std', 'lag_52']",success
33,0.01,reordered,3,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1733.77,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'rolling_4_std', 'lag_52']",success
34,0.01,reordered,4,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_52,1749.14,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_52', 'rolling_4_std', 'rolling_4_mean']",success
35,0.01,reordered,5,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1791.98,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'lag_52', 'rolling_4_std']",success
36,0.01,reordered,6,anthropic/claude-3.5-sonnet,drop_rows,17,True,rolling_4_std,1728.34,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['rolling_4_std', 'rolling_4_mean', 'lag_1']",success
37,0.01,reordered,7,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1637.85,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
38,0.01,reordered,8,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1533.63,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'rolling_4_std', 'lag_52']",success
39,0.01,reordered,9,anthropic/claude-3.5-sonnet,drop_rows,17,True,rolling_4_mean,1661.47,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_13_mean', 'rolling_4_std']","['rolling_4_mean', 'lag_1', 'rolling_4_std']",success
40,0.01,reordered,10,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_1,1739.63,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean']","['lag_1', 'lag_52', 'rolling_4_std']",success
